country,year,happiness
Australia,2005,7.340688229
Australia,2007,7.285390854
Australia,2008,7.253757477
Australia,2010,7.450047016
Australia,2011,7.405616283
Australia,2012,7.195585728
Australia,2013,7.364169121
Australia,2014,7.288550377
Australia,2015,7.309060574
Australia,2016,7.250080109
Australia,2017,7.25703764
China,2006,4.560495377
China,2007,4.86286211
China,2008,4.84629488
China,2009,4.454360962
China,2010,4.652736664
China,2011,5.037207603
China,2012,5.094917297
China,2013,5.241090298
China,2014,5.195619106
China,2015,5.303877831
China,2016,5.32495594
China,2017,5.099061489
France,2005,7.093392849
France,2006,6.582700253
France,2008,7.008064747
France,2009,6.283498287
France,2010,6.797901154
France,2011,6.959185123
France,2012,6.649365425
France,2013,6.66712141
France,2014,6.466867924
France,2015,6.357625008
France,2016,6.475208759
France,2017,6.635222435
Germany,2005,6.619549751
Germany,2007,6.416819572
Germany,2008,6.521790028
Germany,2009,6.64149332
Germany,2010,6.724531174
Germany,2011,6.621312141
Germany,2012,6.702362061
Germany,2013,6.965125084
Germany,2014,6.984214306
Germany,2015,7.037137508
Germany,2016,6.873763084
Germany,2017,7.074324608
Japan,2005,6.515817165
Japan,2007,6.238197803
Japan,2008,5.91067934
Japan,2009,5.844999313
Japan,2010,6.056752682
Japan,2011,6.262793541
Japan,2012,5.968216419
Japan,2013,5.959361553
Japan,2014,5.922620773
Japan,2015,5.879684448
Japan,2016,5.954650879
Japan,2017,5.910676479
Russia,2006,4.963742733
Russia,2007,5.222867489
Russia,2008,5.61875391
Russia,2009,5.158227921
Russia,2010,5.384773254
Russia,2011,5.388766289
Russia,2012,5.620735645
Russia,2013,5.537177563
Russia,2014,6.036976814
Russia,2015,5.995538712
Russia,2016,5.85494566
Russia,2017,5.578742981
South Africa,2006,5.083986759
South Africa,2007,5.204454422
South Africa,2008,5.346306801
South Africa,2009,5.218430996
South Africa,2010,4.652428627
South Africa,2011,4.930511475
South Africa,2012,5.133887768
South Africa,2013,3.660727262
South Africa,2014,4.828456402
South Africa,2015,4.887325764
South Africa,2016,4.769739628
South Africa,2017,4.513655186
South Korea,2006,5.332177639
South Korea,2007,5.76727581
South Korea,2008,5.389624596
South Korea,2009,5.647689819
South Korea,2010,6.116024494
South Korea,2011,6.946599007
South Korea,2012,6.003286839
South Korea,2013,5.958809853
South Korea,2014,5.801325321
South Korea,2015,5.780211449
South Korea,2016,5.970564365
South Korea,2017,5.873887062
Switzerland,2006,7.473252773
Switzerland,2009,7.524520874
Switzerland,2012,7.776208878
Switzerland,2014,7.492803574
Switzerland,2015,7.572136879
Switzerland,2016,7.458519936
Switzerland,2017,7.473593235
United Kingdom,2005,6.983556747
United Kingdom,2007,6.801930904
United Kingdom,2008,6.986463547
United Kingdom,2009,6.90654707
United Kingdom,2010,7.029364109
United Kingdom,2011,6.869248867
United Kingdom,2012,6.880784035
United Kingdom,2013,6.918055058
United Kingdom,2014,6.758147717
United Kingdom,2015,6.515445232
United Kingdom,2016,6.8242836
United Kingdom,2017,7.103273392
United States,2006,7.18179369
United States,2007,7.512687683
United States,2008,7.280385971
United States,2009,7.158032417
United States,2010,7.16361618
United States,2011,7.115138531
United States,2012,7.026226997
United States,2013,7.249285221
United States,2014,7.151114464
United States,2015,6.863946915
United States,2016,6.803599834
United States,2017,6.9917593
